"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","XBF","SBF","SB%","KF","3BF","2BF","GDPF","Steal","Jump","BA vs L","OBP vs L","SLG vs L","HRF vs L","BA vs R","OBP vs R","SLG vs R","HRF vs R","PB","C Throw", 
"C","Murphy, Morgan R  ","$500,000","5326",".180",".233",".242","25.1","81.9","15.8","41.0","577.1",".556","5.28","721.4","47.3","43.1","Fr","Fr",".186",".239",".249","88.8",".171",".221",".231","72.9","3","Av",  
"C","Needham, Tom R  ","$500,000","9306",".206",".265",".295","42.8","62.9","16.1","25.2","407.9",".595","7.24","728.4","28.7","43.4","Fr","Fr",".215",".276",".309","58.2",".200",".256",".285","67.0","7","Av",  
"C","Nieves, Wil R  ","$500,000","17883",".241",".279",".291","44.0","415.9","19.8","25.4","1209.3",".516","8.15","297.7","30.2","37.2","Pr","Pr",".250",".289",".310","270.0",".230",".268",".270","1128.0","3","Fr",  
"C","Plummer, Bill R  ","$500,000","6083",".180",".254",".262","33.8","83.3","11.5","23.7","616.5",".579","5.18","322.9","28.7","38.7","Pr","Pr",".174",".248",".248","78.8",".184",".258",".272","86.9","3","Av",  
"3B, C, 2B","Roberts, Dave W R  ","$500,000","7268",".233",".277",".350","55.7","46.0","17.8","21.9","186.6",".712","6.18","182.2","27.1","53.3","Vg","Fr",".230",".275",".336","54.9",".235",".279",".360","41.6","7","Fr",  
"C","Roof, Phil R  ","$500,000","8076",".211",".269",".298","42.7","72.1","14.8","26.5","403.5",".595","4.93","143.2","36.5","35.8","Fr","Fr",".209",".268",".285","80.2",".214",".271",".311","65.9","3","Av",  
"C","Ryan, Jack R  ","$500,000","5586",".198",".226",".275","29.3","105.4","28.0","24.1","391.7",".789","7.21","146.9","30.6","43.9","Fr","Fr",".197",".228",".279","90.8",".199",".224",".272","120.5","4","Vg",  
"C","Stanage, Oscar R  ","$500,000","8978",".219",".258",".313","43.3","59.1","20.5","24.5","458.9",".618","7.01","385.5","28.2","42.3","Fr","Fr",".223",".263",".321","56.4",".214",".252",".305","61.6","4","Av",  
"C","Swisher, Steve R  ","$500,000","2569",".190",".250",".256","30.6","102.8","14.6","28.9","1398.5",".500","4.76","559.4","33.3","37.8","Pr","Pr",".208",".270",".271","127.5",".178",".236",".246","91.1","3","Av",  
"C","Treanor, Matt R  ","$500,000","5889",".208",".295",".254","45.6","178.5","10.3","39.8","2237.7","1.00","6.35","268.5","54.6","57.4","Pr","Pr",".192",".275",".222","506.6",".222",".312",".281","121.3","2","Av",  
"C","Walbeck, Matt S  ","$500,000","13725",".228",".269",".272","38.5","334.8","18.5","31.5","396.7",".552","9.45","276.9","38.3","39.2","Fr","Fr",".246",".296",".309","164.3",".217",".253",".251","915.1","4","Av",  
"C","Zimmerman, Jerry R  ","$500,000","7858",".206",".264",".232","28.7","1309.7","15.5","43.4","2879.0",".500","7.95","785.2","50.8","28.6","Pr","Pr",".200",".251",".221","3313.0",".210",".272",".240","906.4","3","Av",  


