"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","Run","PA","OPS vs L","OPS vs R","BatPlat","FLD:C","FLD:1B","FLD:2B","FLD:3B","FLD:SS","FLD:LF","FLD:CF","FLD:RF","OF Throw","Jump","Injury","OBP vs L","OBP vs R", 
"1B, 3B","Perez, Tony R  ","$12,705,000","51016",".272",".337",".457","89.6","25.7","11.3","Av","56796",".848",".762","-2","","Vg/81","","Av/113","","","","","&nbsp;","Fr","Normal",".357",".325",  
"CF","Williams, Bernie S  ","$12,664,000","83505",".294",".374",".448","98.7","36.6","8.75","Av","95311",".839",".811","-1","","","","","","","Av/60","","Fr","Av","Prone",".380",".370",  
"2B, 3B, SS","Frisch, Frankie S  ","$12,600,000","53977",".283",".337",".403","79.9","63.7","13.4","Ex","59401",".723",".750","0","","","Ex/77","Av/101","Fr/117","","","","&nbsp;","Vg","Normal",".333",".339",  
"CF","Pinson, Vada L  ","$12,565,000","56220",".276",".324",".422","81.3","44.0","15.5","Ex","60996",".686",".782","2","","","","","","","Vg/81","","Vg","Vg","Iron",".303",".336",  
"LF, 1B, RF","Irvin, Monte R  ","$12,549,000","31421",".280",".361",".427","91.6","36.7","9.36","Vg","35840",".785",".792","1","","Av/186","","","","Vg/76","","Av/76","Vg","Fr","Normal",".362",".361",  
"1B","Teixeira, Mark S  ","$12,549,000","70315",".270",".354",".471","99.0","22.6","9.02","Av","80656",".852",".806","-1","","Vg/51","","","","","","","&nbsp;","Pr","Prone",".370",".343",  
"LF","Sheckard, Jimmy L  ","$12,546,000","31587",".261",".352",".397","85.5","46.2","8.30","Vg","36749",".684",".784","1","","","","","","Ex/77","","","Vg","Vg","Normal",".333",".362",  
"SS, 1B, 3B","Banks, Ernie R  ","$12,524,000","93081",".258",".311",".468","84.8","20.5","14.4","Av","101762",".762",".790","0","","Av/65","","Av/88","Av/76","","","","&nbsp;","Fr","Normal",".306",".314",  
"RF, LF, CF","Winfield, Dave R  ","$12,502,000","48433",".282",".346",".472","94.4","24.9","11.1","Ex","54014",".862",".791","-1","","","","","","Av/89","Fr/89","Av/89","Ex","Av","Normal",".365",".335",  
"1B","Taylor, Ben L  ","$12,485,000","44820",".289",".359",".389","83.9","88.8","9.94","Av","50406",".705",".774","1","","Ex/80","","","","","","","&nbsp;","Fr","Normal",".341",".370",  
"CF","Averill, Earl L  ","$12,443,000","66580",".268",".334",".457","89.4","25.3","11.3","Vg","74156",".744",".822","2","","","","","","","Vg/95","","Av","Fr","Normal",".317",".345",  
"RF","Ordonez, Magglio R  ","$12,430,000","53789",".293",".355",".441","90.1","37.5","11.2","Av","59772",".851",".764","-2","","","","","","","","Av/84","Av","Fr","Normal",".376",".342",  
"C, 1B","Tenace, Gene R  ","$12,411,000","36345",".243",".380",".439","105.8","21.9","5.82","Av","44908",".861",".794","-1","Vg/89","Av/85","","","","","","","&nbsp;","Fr","Prone",".392",".373",  
"3B","Baker, Frank L  ","$12,403,000","46056",".289",".337",".433","84.8","42.3","15.0","Vg","50313",".722",".801","1","","","","Vg/91","","","","","&nbsp;","Vg","Normal",".323",".346",  
"CF, RF","Lemon, Chet R  ","$12,375,000","43906",".270",".354",".433","91.4","36.4","10.3","Vg","50320",".804",".777","-1","","","","","","","Vg/80","Vg/80","Av","Fr","Normal",".356",".352",  
"LF, RF","Belle, Albert R  ","$12,372,000","54115",".270",".336",".502","96.2","18.4","11.1","Av","60468",".893",".809","-1","","","","","","Fr/145","","Fr/145","Av","Fr","Normal",".354",".327",  
"1B, LF","Suttles, Mule R  ","$12,339,000","54211",".280",".352",".506","100.1","17.8","10.0","Fr","61140",".901",".833","-1","","Fr/120","","","","Pr/121","","","Fr","Pr","Normal",".369",".341",  
"RF","Abreu, Bobby L  ","$12,277,000","48342",".279",".380",".414","99.0","46.9","7.08","Av","56948",".685",".862","3","","","","","","","","Av/97","Vg","Vg","Normal",".341",".404",  
"3B, SS","McGraw, John L  ","$12,273,000","68951",".278",".403",".366","98.9","74.8","6.37","Ex","84561",".754",".778","1","","","","Av/94","Pr/102","","","","&nbsp;","Ex","Prone",".399",".405",  
"LF","Clarke, Fred L  ","$12,244,000","45043",".285",".354",".430","89.9","52.6","11.2","Vg","50705",".759",".800","1","","","","","","Ex/70","","","Av","Vg","Prone",".345",".360",  
"3B","Nettles, Graig L  ","$12,224,000","49619",".248",".323",".399","77.5","28.7","10.1","Av","55901",".629",".770","2","","","","Ex/75","","","","","&nbsp;","Fr","Normal",".293",".338",  
"RF, LF","Selkirk, George L  ","$12,208,000","45200",".268",".362",".442","97.1","27.4","8.03","Av","52532",".761",".827","0","","","","","","Av/77","","Av/77","Av","Fr","Normal",".350",".369",  
"RF, LF","Cravath, Gavvy R  ","$12,181,000","55688",".264",".358",".462","98.2","27.2","7.91","Fr","64850",".876",".786","-1","","","","","","Av/140","","Av/140","Ex","Av","Normal",".380",".344",  
"2B, 3B, SS","Monroe, Bill R  ","$12,177,000","36804",".270",".337",".399","81.3","45.3","11.2","Vg","41342",".768",".717","-1","","","Vg/70","Ex/92","Vg/70","","","","&nbsp;","Fr","Normal",".344",".333",  
"RF, LF","Slaughter, Enos L  ","$12,157,000","38564",".276",".347",".411","87.1","53.0","10.4","Vg","43489",".735",".773","1","","","","","","Vg/86","","Vg/86","Vg","Fr","Normal",".340",".352",  
"RF","Keeler, Willie L  ","$12,156,000","44442",".319",".360",".415","88.3","75.8","18.5","Vg","48398",".748",".795","1","","","","","","","","Av/62","Av","Vg","Iron",".355",".364",  
"1B","Olerud, John L  ","$12,144,000","46271",".283",".377",".410","94.1","47.9","7.85","Fr","54015",".653",".867","3","","Vg/68","","","","","","","&nbsp;","Pr","Normal",".334",".402",  
"RF, 1B, LF","Herman, Babe L  ","$12,090,000","54028",".289",".353",".486","99.1","28.1","11.1","Vg","60415",".809",".850","1","","Fr/161","","","","Fr/146","","Fr/146","Av","Av","Normal",".344",".357",  
"3B","Cey, Ron R  ","$12,087,000","35345",".252",".343",".426","86.8","25.2","8.57","Av","40824",".810",".745","-2","","","","Av/74","","","","","&nbsp;","Pr","Normal",".360",".333",  
"1B","Lee, Derrek R  ","$12,071,000","54389",".275",".355",".454","94.4","27.0","9.15","Av","62000",".850",".785","-1","","Vg/80","","","","","","","&nbsp;","Av","Normal",".371",".346",  
"3B","Bando, Sal R  ","$11,999,000","47835",".264",".361",".431","95.0","29.3","7.86","Av","55957",".805",".784","-1","","","","Av/87","","","","","&nbsp;","Fr","Normal",".364",".360",  
"RF, 1B, CF","Crawford, Sam L  ","$11,979,000","46190",".292",".344",".449","89.1","47.4","13.3","Vg","50795",".748",".817","1","","Fr/134","","","","","Av/62","Av/62","Vg","Vg","Iron",".328",".353",  
"2B","Kent, Jeff R  ","$11,968,000","81711",".284",".352",".463","94.0","29.4","10.9","Av","91584",".846",".796","-1","","","Av/103","","","","","","&nbsp;","Fr","Prone",".362",".345",  
"CF, 2B","Lange, Bill R  ","$11,908,000","45575",".271",".336",".400","81.1","50.5","11.2","Ex","50650",".778",".713","-1","","","Fr/167","","","","Ex/80","","Vg","Ex","Normal",".351",".327",  
"RF, 1B, LF, CF","Henrich, Tommy L  ","$11,890,000","48659",".261",".343",".440","91.7","29.3","9.43","Vg","55697",".735",".812","1","","Fr/99","","","","Av/75","Fr/75","Av/75","Vg","Fr","Normal",".329",".351",  
"LF, 3B, RF","Braun, Ryan R  ","$11,875,000","76103",".294",".356",".484","98.6","24.6","11.8","Vg","84654",".928",".793","-3","","","","Fr/237","","Av/68","","Av/68","Av","Av","Prone",".391",".336",  
"LF, CF, RF","Giles, Brian L  ","$11,846,000","46914",".271",".375",".437","100.1","30.8","7.05","Av","55396",".711",".872","3","","","","","","Av/116","Fr/116","Av/116","Av","Fr","Normal",".341",".394",  
"LF","Holliday, Matt R  ","$11,816,000","52743",".289",".370",".456","97.8","29.8","9.51","Av","60348",".822",".831","0","","","","","","Av/98","","","Fr","Fr","Normal",".371",".370",  
"CF","Thomas, Roy L  ","$11,806,000","84218",".268",".389",".352","90.6","55.4","6.21","Vg","102725",".679",".783","1","","","","","","","Vg/55","","Av","Av","Normal",".370",".402",  
"CF, RF","Puckett, Kirby R  ","$11,803,000","47358",".296",".333",".431","81.3","45.5","19.6","Vg","50689",".785",".753","-1","","","","","","","Av/59","Av/59","Vg","Fr","Normal",".342",".329",  
"LF, 3B, RF","Mitchell, Kevin R  ","$11,776,000","110270",".272",".344",".482","96.4","20.5","10.2","Fr","124188",".846",".813","-1","","","","Av/102","","Fr/154","","Fr/154","Av","Fr","Prone",".355",".337",  
"1B","Anson, Cap R  ","$11,736,000","50145",".298",".367",".427","93.7","53.0","10.2","Ex","56520",".828",".776","-1","","Av/94","","","","","","","&nbsp;","Av","Iron",".380",".360",  
"C, LF, RF","Bench, Johnny R  ","$11,723,000","37993",".250",".324",".449","85.8","20.8","10.0","Av","42817",".813",".749","-1","Vg/68","","","","","Pr/225","","Pr/225","Av","Fr","Normal",".340",".314",  
"3B, 2B","Groh, Heinie R  ","$11,692,000","46375",".272",".355",".389","85.1","62.2","9.34","Vg","53428",".776",".729","-1","","","Av/91","Vg/62","","","","","&nbsp;","Av","Normal",".367",".349",  
"3B","Hack, Stan L  ","$11,663,000","34557",".272",".356",".372","84.2","73.5","8.74","Ex","39792",".665",".767","2","","","","Vg/81","","","","","&nbsp;","Av","Normal",".334",".369",  
"2B, SS","Grich, Bobby R  ","$11,647,000","51195",".258",".359",".413","91.7","34.7","7.71","Vg","60259",".755",".781","0","","","Vg/79","","Fr/100","","","","&nbsp;","Fr","Prone",".357",".360",  
"RF, CF","Flick, Elmer L  ","$11,638,000","29536",".283",".363",".436","95.2","49.3","9.65","Ex","33763",".741",".834","1","","","","","","","Fr/103","Av/103","Vg","Vg","Prone",".341",".375",  
"DH, 1B","Ortiz, David L  ","$11,593,000","54032",".268",".357",".492","102.7","19.0","8.13","Pr","62451",".746",".914","3","","Pr/180","","","","","","","&nbsp;","Pr","Normal",".319",".380",  
"RF, CF","Gwynn, Tony Sr L  ","$11,575,000","54746",".315",".356",".400","82.8","221.6","16.6","Vg","59019",".718",".781","1","","","","","","","Av/80","Av/80","Vg","Av","Normal",".345",".363",  
"LF","White, Roy S  ","$11,552,000","26522",".273",".360",".397","89.2","50.3","8.38","Vg","30543",".671",".808","2","","","","","","Vg/53","","","Av","Av","Normal",".331",".377",  
"1B","Sisler, George L  ","$11,540,000","38560",".303",".337",".431","83.8","56.5","20.7","Ex","41398",".731",".791","2","","Vg/114","","","","","","","&nbsp;","Vg","Normal",".326",".344",  
"RF, LF","Singleton, Ken S  ","$11,521,000","66387",".282",".381",".435","98.7","31.2","7.25","Fr","78016",".779",".840","2","","","","","","Fr/94","","Fr/94","Fr","Pr","Normal",".368",".390",  
"C","Dickey, Bill L  ","$11,516,000","35334",".286",".347",".444","90.2","31.1","12.2","Av","39187",".741",".819","2","Vg/58","","","","","","","","&nbsp;","Pr","Prone",".328",".357",  
"CF, 1B, LF, RF","Murphy, Dale R  ","$11,511,000","58885",".255",".340",".458","91.4","20.8","8.93","Vg","67227",".881",".749","-2","","Av/236","","","","Av/84","Fr/84","Av/84","Av","Av","Normal",".371",".321",  
"2B, 3B, SS, LF, RF","Zobrist, Ben S  ","$11,484,000","37609",".268",".359",".397","88.6","52.7","8.04","Av","43563",".748",".761","-1","","","Av/77","Av/226","Av/124","Av/49","","Av/49","Av","Fr","Normal",".359",".359",  
"C, 1B, 3B","Torre, Joe R  ","$11,462,000","38304",".285",".349",".434","86.8","34.0","11.9","Fr","42611",".761",".796","0","Av/77","Av/60","","Fr/87","","","","","&nbsp;","Pr","Normal",".346",".350",  
"CF","Fukumoto, Yutaka L  ","$11,356,000","27710",".255",".340",".345","76.8","132.0","9.10","Ex","31809",".651",".703","1","","","","","","","Ex/75","","Av","Ex","Iron",".327",".347",  
"1B, LF","Cepeda, Orlando R  ","$11,351,000","53992",".288",".339",".481","93.2","23.5","16.2","Av","58934",".912",".767","-2","","Av/115","","","","Fr/130","","","Av","Av","Normal",".373",".319",  
"CF","Poles, Spotswood S  ","$11,338,000","29608",".287",".329",".354","75.2","356.7","18.4","Ex","31968",".664",".694","0","","","","","","","Ex/80","","Vg","Ex","Normal",".322",".334",  
"3B, SS","Dandridge, Ray R  ","$11,326,000","43046",".286",".333",".372","74.0","175.0","15.8","Vg","47165",".715",".697","-1","","","","Ex/69","Av/85","","","","&nbsp;","Fr","Normal",".340",".329",  
"3B, 1B","Wilson, Jud L  ","$11,307,000","58896",".287",".358",".471","97.6","24.4","10.2","Fr","66205",".791",".852","1","","Fr/149","","Fr/142","","","","","&nbsp;","Fr","Normal",".344",".367",  
"C","Berra, Yogi L  ","$11,300,000","43904",".278",".329",".451","88.0","25.9","14.2","Av","48050",".730",".808","1","Vg/77","","","","","","","","&nbsp;","Pr","Normal",".315",".337",  
"CF","Flood, Curt R  ","$11,287,000","38549",".274",".331",".346","70.3","152.4","13.7","Ex","42623",".746",".640","-2","","","","","","","Ex/48","","Av","Fr","Normal",".353",".319",  
"SS","Smith, Ozzie S  ","$11,255,000","37546",".267",".342",".323","73.4","357.6","9.88","Vg","42767",".677",".657","-1","","","","","Ex/57","","","","&nbsp;","Vg","Normal",".349",".338",  
"CF","Butler, Brett L  ","$11,214,000","64651",".286",".373",".360","87.5","162.8","8.39","Ex","75417",".707",".749","1","","","","","","","Av/42","","Av","Vg","Normal",".366",".378",  
"SS","Rizzuto, Phil R  ","$11,212,000","28266",".269",".328",".348","69.8","135.9","13.6","Ex","31588",".716",".653","-1","","","","","Ex/77","","","","&nbsp;","Av","Normal",".340",".321",  
"CF, RF","Yamamoto, Kouji R  ","$11,209,000","53743",".262",".350",".400","84.4","33.8","8.61","Vg","61826",".771",".739","-1","","","","","","","Vg/50","Vg/50","Vg","Av","Iron",".358",".344",  
"RF, LF","Cruz, Nelson R  ","$11,202,000","48865",".285",".353",".505","102.4","18.4","10.8","Pr","54810",".965",".795","-3","","","","","","Av/118","","Av/118","Av","Fr","Prone",".392",".329",  
"C","Cochrane, Mickey L  ","$11,140,000","45204",".269",".360",".404","89.0","42.2","8.16","Vg","52318",".714",".788","2","Vg/75","","","","","","","","&nbsp;","Fr","Normal",".342",".369",  
"SS","Bancroft, Dave S  ","$11,138,000","37193",".259",".343",".355","75.5","72.9","8.93","Vg","42903",".695",".701","-1","","","","","Ex/92","","","","&nbsp;","Av","Prone",".340",".345",  
"SS, 3B","Davis, George S  ","$11,138,000","44704",".275",".335",".406","82.2","53.0","12.0","Vg","49609",".736",".745","0","","","","Av/88","Vg/77","","","","&nbsp;","Ex","Normal",".333",".336",  
"LF, CF","Goslin, Goose L  ","$11,114,000","44045",".274",".335",".456","89.5","28.0","12.5","Vg","48982",".738",".825","2","","","","","","Vg/119","Av/119","","Vg","Av","Normal",".318",".345",  
"LF, RF","Williams, Billy L  ","$11,109,000","70516",".274",".339",".451","90.1","26.6","11.2","Vg","78613",".752",".816","0","","","","","","Av/107","","Av/107","Av","Fr","Iron",".334",".342",  
"LF","Gonzalez, Luis L  ","$11,075,000","22994",".271",".350",".429","90.2","33.7","9.56","Av","26200",".697",".827","2","","","","","","Vg/79","","","Av","Fr","Normal",".330",".362",  
"SS, 1B, 3B, LF","Ramirez, Hanley R  ","$11,068,000","121873",".283",".349",".444","92.0","32.4","11.2","Vg","136073",".818",".779","-1","","Pr/62","","Fr/90","Av/123","Pr/231","","","Pr","Vg","Normal",".361",".342",  
"1B","Giles, George L  ","$11,057,000","29804",".282",".337",".399","79.7","52.0","13.4","Vg","32928",".724",".743","1","","Ex/72","","","","","","","&nbsp;","Vg","Normal",".331",".340",  
"C","Carter, Gary R  ","$11,055,000","32754",".255",".328",".431","84.0","24.5","10.6","Av","36921",".851",".712","-2","Ex/56","","","","","","","","&nbsp;","Fr","Normal",".363",".310",  
"CF, RF","Lynn, Fred L  ","$11,034,000","32117",".270",".347",".442","90.9","29.7","9.67","Av","36377",".668",".858","3","","","","","","","Vg/65","Vg/65","Av","Fr","Prone",".306",".370",  
"3B","Robinson, Brooks R  ","$11,034,000","29929",".275",".320",".402","74.5","51.2","16.2","Av","32442",".762",".707","0","","","","Ex/55","","","","","&nbsp;","Pr","Iron",".335",".314",  
"SP, LF, RF","Donaldson, John L  ","$11,021,000","6670",".244",".298",".349","60.6","65.4","14.3","Vg","7313",".608",".660","1","","","","","","Fr/125","","Fr/125","Fr","Fr","Normal",".291",".302",  
"2B","Pedroia, Dustin R  ","$11,003,000","42392",".284",".349",".386","82.6","82.6","11.0","Av","47398",".749",".729","-1","","","Ex/55","","","","","","&nbsp;","Av","Prone",".355",".346",  
"1B","Cash, Norm L  ","$10,967,000","33204",".262",".355",".443","94.1","23.4","8.26","Fr","38513",".671",".856","4","","Vg/81","","","","","","","&nbsp;","Fr","Normal",".309",".376",  
"RF","Smith, Chino L  ","$10,947,000","43497",".292",".328",".439","83.1","38.2","20.3","Vg","46477",".743",".783","1","","","","","","","","Vg/100","Av","Fr","Normal",".314",".337",  
"SS, 3B","Dahlen, Bill R  ","$10,942,000","38143",".250",".330",".398","80.3","43.7","10.0","Ex","43372",".774",".701","-1","","","","Vg/61","Ex/89","","","","&nbsp;","Ex","Normal",".342",".322",  
"SS, 3B","Garcia, Silvio R  ","$10,940,000","41991",".263",".326",".398","77.2","52.3","11.5","Vg","46682",".750",".714","-1","","","","Vg/67","Vg/86","","","","&nbsp;","Av","Normal",".338",".321",  
"RF, 1B, LF","Justice, David L  ","$10,939,000","52082",".259",".349",".440","93.4","24.0","8.11","Fr","60184",".740",".823","1","","Fr/231","","","","Vg/128","","Vg/128","Av","Fr","Prone",".335",".359",  
"SP, LF, RF","Wood, Joe R  ","$10,925,000","6711",".253",".331",".405","79.6","38.3","9.82","Fr","7620",".770",".704","-2","","","","","","Pr/102","","Pr/102","Fr","Fr","Prone",".342",".320",  
"RF","Barfield, Jesse R  ","$10,880,000","36728",".241",".318",".423","78.7","24.2","10.1","Av","41381",".785",".714","-1","","","","","","","","Ex/105","Ex","Av","Prone",".337",".306",  
"3B, CF","Boyer, Ken R  ","$10,878,000","54858",".266",".329",".419","80.5","32.7","11.8","Vg","60762",".804",".712","-2","","","","Vg/95","","","Av/46","","Fr","Av","Iron",".349",".316",  
"CF, LF, RF","Thomas, Clint R  ","$10,861,000","43472",".257",".329",".421","82.0","30.6","10.9","Vg","48878",".784",".731","-1","","","","","","Ex/103","Vg/103","Ex/103","Vg","Av","Normal",".344",".320",  
"SP, 2B, LF, CF, RF","Day, Leon R  ","$10,860,000","15962",".255",".324",".389","75.8","51.7","10.8","Ex","17975",".752",".669","-1","","","Fr/104","","","Vg/113","Fr/113","Vg/113","Av","Ex","Normal",".337",".309",  
"DH, 1B, 2B, 3B","Molitor, Paul R  ","$10,854,000","37837",".294",".362",".421","93.0","58.7","10.5","Vg","42445",".798",".776","-1","","Av/142","Av/84","Av/105","","","","","&nbsp;","Vg","Prone",".368",".359",  
"RF, 1B","Staub, Rusty L  ","$10,849,000","41567",".279",".358",".433","91.8","35.7","9.51","Fr","47440",".719",".832","2","","Av/104","","","","","","Av/125","Av","Fr","Normal",".331",".373",  
"CF, RF","Cameron, Mike R  ","$10,823,000","52155",".245",".333",".418","85.1","29.9","8.82","Ex","59752",".785",".730","-2","","","","","","","Vg/94","Vg/94","Av","Vg","Normal",".346",".325",  
"SS, 2B","Johnson, Home Run R  ","$10,802,000","35963",".262",".335",".405","81.7","43.9","10.6","Av","40638",".724",".750","0","","","Av/122","","Vg/101","","","","&nbsp;","Fr","Iron",".330",".338",  
"3B, SS","Harrah, Toby R  ","$10,790,000","82416",".260",".357",".401","89.2","36.6","7.89","Vg","96428",".822",".718","-2","","","","Fr/84","Av/109","","","","&nbsp;","Av","Normal",".383",".341",  
"1B","McGriff, Fred L  ","$10,769,000","46580",".263",".353",".464","96.2","20.3","8.26","Fr","53709",".729",".878","2","","Fr/101","","","","","","","&nbsp;","Fr","Normal",".322",".373",  
